Iteration,Network,Signal,MAC Address
6,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
6,"['eduroam', '-43', '38:90:A5:0D:33:3E']"
6,"['central', '-42', '38:90:A5:0D:33:3F']"
6,"['SDP_AT', '-43', '38:90:A5:0D:33:3D']"
6,"['SDProbots', '-87', '00:13:21:57:E4:EB']"
6,"['central', '-36', '38:90:A5:0D:33:30']"
6,"['SDP_AT', '-37', '38:90:A5:0D:33:32']"
6,"['SDProbots', '-86', '00:0D:9D:F6:12:77']"
6,"['eduroam', '-84', '38:90:A5:20:20:41']"
6,"['Visit-Ed', '-90', '38:90:A5:4D:6A:1C']"
6,"['central', '-79', '38:90:A5:5A:11:10']"
6,"['SDP_AT', '-80', '38:90:A5:5A:11:12']"
6,"['eduroam', '-80', '38:90:A5:5A:11:11']"
6,"['eduroam', '-83', '38:90:A5:5A:11:1E']"
6,"['eduroam', '-86', '38:90:A5:4D:6A:1E']"
6,"['central', '-84', '38:90:A5:20:31:B0']"
6,"['Visit-Ed', '-85', '20:3A:07:85:59:52']"
6,"['eduroam', '-85', '20:3A:07:85:59:51']"
6,"['central', '-83', '38:90:A5:20:20:40']"
6,"['central', '-83', '38:90:A5:5A:11:1F']"
6,"['SDP_AT', '-83', '38:90:A5:5A:11:1D']"
6,"['central', '-85', '20:3A:07:85:59:50']"
6,"['eduroam', '-84', '38:90:A5:20:31:B1']"
6,"['Visit-Ed', '-83', '38:90:A5:20:20:42']"
6,"['Visit-Ed', '-87', '38:90:A5:20:31:B2']"
7,"['eduroam', '-66', '38:90:A5:19:EB:F1']"
7,"['SDProbots', '-42', '00:13:21:57:B4:67']"
7,"['central', '-66', '38:90:A5:19:EB:F0']"
7,"['Visit-Ed', '-66', '38:90:A5:19:EB:F3']"
7,"['eduroam', '-35', '38:90:A5:0D:33:31']"
7,"['SDProbots', '-74', '00:16:35:9D:2B:09']"
7,"['eduroam', '-70', '38:90:A5:19:EB:FE']"
7,"['central', '-71', '38:90:A5:19:EB:FF']"
7,"['Visit-Ed', '-71', '38:90:A5:19:EB:FC']"
7,"['eduroam', '-43', '38:90:A5:0D:33:3E']"
7,"['central', '-42', '38:90:A5:0D:33:3F']"
7,"['SDP_AT', '-43', '38:90:A5:0D:33:3D']"
7,"['SDProbots', '-87', '00:13:21:57:E4:EB']"
7,"['central', '-35', '38:90:A5:0D:33:30']"
